回号,抽選日,本数字1,本数字2,本数字3,本数字4,本数字5,本数字6,ボーナス数字
2027,2025/8/21,5,12,18,23,34,39,13
2026,2025/8/18,2,5,8,11,20,26,28
2025,2025/8/14,12,18,26,28,41,43,35
2024,2025/8/11,10,13,16,29,34,42,21
2023,2025/8/7,1,20,28,29,31,43,5
2022,2025/8/4,2,3,18,26,31,33,30
2021,2025/7/31,2,17,22,29,30,43,31
2020,2025/7/28,5,21,23,28,38,39,32
2019,2025/7/24,7,13,14,21,39,42,9
2018,2025/7/21,1,2,14,21,22,33,37
2017,2025/7/17,2,4,11,22,24,35,8
2016,2025/7/14,10,13,27,31,40,42,1
2015,2025/7/10,6,8,13,16,20,23,26
2014,2025/7/7,7,11,21,24,29,34,40
2013,2025/7/3,7,12,30,31,39,43,42
2012,2025/6/30,1,14,20,36,38,41,30
2011,2025/6/26,12,14,18,24,30,42,4
2010,2025/6/23,9,15,24,29,31,40,13
2009,2025/6/19,8,17,20,35,36,40,12
2008,2025/6/16,5,8,9,17,22,36,30
2007,2025/6/12,6,18,23,24,30,35,38
2006,2025/6/9,4,7,19,22,26,28,33
2005,2025/6/5,3,7,18,27,33,34,6
2004,2025/6/2,16,18,25,27,31,36,7
2003,2025/5/29,1,5,10,13,35,40,39
2002,2025/5/26,1,17,19,23,36,42,15
2001,2025/5/22,13,21,24,26,34,36,20
2000,2025/5/19,1,2,16,21,25,35,22
1999,2025/5/15,17,31,34,35,36,38,2
1998,2025/5/12,1,4,6,9,20,43,21
1997,2025/5/8,5,16,17,28,36,40,14
1996,2025/5/5,6,17,26,28,33,34,20
1995,2025/5/1,2,4,8,26,27,37,19
1994,2025/4/28,10,11,13,16,24,26,12
1993,2025/4/24,7,12,13,35,37,42,31
1992,2025/4/21,9,11,18,21,27,34,13
1991,2025/4/17,1,5,12,16,17,40,4
1990,2025/4/14,6,9,15,19,24,40,30
1989,2025/4/10,15,17,23,29,35,43,8
1988,2025/4/7,6,20,23,24,33,35,27
1987,2025/4/3,8,12,25,28,32,42,27
1986,2025/3/31,14,20,29,31,41,42,24
1985,2025/3/27,1,30,36,37,41,43,33
1984,2025/3/24,4,19,28,29,34,40,3
1983,2025/3/20,3,18,31,36,37,40,23
1982,2025/3/17,20,21,23,28,32,34,6
1981,2025/3/13,5,10,15,17,29,41,30
1980,2025/3/10,1,2,13,19,35,41,3
1979,2025/3/6,15,18,19,21,37,40,17
1978,2025/3/3,23,25,26,30,34,35,12
1977,2025/2/27,4,14,20,28,29,34,30
1976,2025/2/24,4,6,22,30,33,36,2
1975,2025/2/20,11,13,15,20,35,42,19
1974,2025/2/17,2,6,13,21,24,30,43
1973,2025/2/13,7,10,14,27,28,32,4
1972,2025/2/10,3,14,27,28,32,36,12
1971,2025/2/6,2,6,9,26,32,36,23
1970,2025/2/3,11,26,27,31,36,37,42
1969,2025/1/30,3,7,12,13,35,38,24
1968,2025/1/27,6,13,15,22,35,41,37
1967,2025/1/23,3,4,22,26,29,35,37
1966,2025/1/20,4,12,25,29,34,36,32
1965,2025/1/16,17,18,20,23,33,43,19
1964,2025/1/13,2,5,28,33,35,36,34
1963,2025/1/9,3,4,20,29,35,38,6
1962,2025/1/6,4,8,19,22,32,37,26
1961,2024/12/30,11,12,27,28,38,43,10
1960,2024/12/26,10,22,27,28,31,32,8
1959,2024/12/23,19,20,36,40,41,43,22
1958,2024/12/19,1,15,16,20,21,25,19
1957,2024/12/16,3,4,5,13,34,42,18
1956,2024/12/12,2,19,21,24,35,42,17
1955,2024/12/9,11,19,26,28,29,36,1
1954,2024/12/5,2,10,15,25,35,37,22
1953,2024/12/2,19,23,29,33,36,40,27
1952,2024/11/28,24,25,31,32,34,40,12
1951,2024/11/25,1,3,6,23,28,35,14
1950,2024/11/21,9,20,26,28,30,42,6
1949,2024/11/18,12,13,17,28,37,43,27
1948,2024/11/14,18,29,30,38,39,43,40
1947,2024/11/11,10,24,30,36,37,41,5
1946,2024/11/7,8,9,11,27,36,38,18
1945,2024/11/4,1,2,4,14,27,43,41
1944,2024/10/31,6,11,21,33,39,42,18
1943,2024/10/28,10,11,17,25,34,38,9
1942,2024/10/24,1,16,18,26,27,35,29
1941,2024/10/21,2,12,13,21,23,43,39
1940,2024/10/17,2,14,15,25,26,42,9
1939,2024/10/14,10,22,26,27,29,37,41
1938,2024/10/10,5,9,14,32,39,41,24
1937,2024/10/7,1,9,26,28,31,38,8
1936,2024/10/3,1,6,19,29,33,35,26
1935,2024/9/30,3,8,12,14,17,40,2
1934,2024/9/26,6,13,16,20,27,41,30
1933,2024/9/23,3,7,9,10,12,30,16
1932,2024/9/19,1,5,16,20,24,31,29
1931,2024/9/16,9,23,27,30,33,41,4
1930,2024/9/12,5,10,19,23,29,37,11
1929,2024/9/9,7,10,12,20,40,43,4
1928,2024/9/5,2,18,20,24,26,29,22
1927,2024/9/2,2,11,18,26,32,36,10
1926,2024/8/29,10,13,18,24,34,37,1
1925,2024/8/26,5,9,11,18,34,37,22
1924,2024/8/22,7,16,18,25,26,27,17
1923,2024/8/19,6,7,18,30,34,37,3
1922,2024/8/15,3,11,22,31,33,35,13
